e.g.	例えば
dr.	博士
mr.	紳士
mrs.	逃す
st.	saint
7-eleven	セブンイレブン
es3	e s 三
s&p	s and p
ASAP	a s a p
AT&T	a t and t
LLP	l l p
b to b	B2B
b to c	B2C
c to c	C2C
c to b	C2B
億	億
兆	兆
ps三	ps3
ps四	ps4
ATM	エーティーエム
十数か二十	十数か二十
幸四郎	幸四郎
白雪姫と七人のこびと	白雪姫と七人のこびと
AKB48	AKB48
七夕	七夕
千夜一夜	千夜一夜
三百六十行	三百六十行
十五の月	十五の月
冷凍三足	冷凍三足
三十年河東	三十年河東
三十年河西	三十年河西
千年後	千年後
五月天	五月天
安倍晋三	安倍晋三
小泉純一郎	小泉純一郎
山本五十六	山本五十六
裕一	裕一
優一	優一
太一	太一
雄一	雄一
泰一	泰一
金田一	金田一
三宅健	三宅健
国分太一	国分太一
東郷平八郎	東郷平八郎
石田三成	石田三成
山内一豊	山内一豊
渋沢栄一	渋沢栄一
土方歳井	土方歳井
二宮金次郎	二宮金次郎
小津安二郎	小津安二郎
本田宗一郎	本田宗一郎
佐藤一郎	佐藤一郎
一郎	一郎
二郎	二郎
三郎	三郎
四郎	四郎
五郎	五郎
六郎	六郎
七郎	七郎
一の上	一の上
一の倉	一の倉
一の口	一の口
一の坪	一の坪
一の宮	一の宮
一の渡	一の渡
一の瀬	一の瀬
一の谷	一の谷
一の関	一の関
一ツ井	一ツ井
一ツ子	一ツ子
一ツ家	一ツ家
一ツ屋	一ツ屋
一ツ山	一ツ山
一ツ木	一ツ木
一ツ本松	一ツ本松
一ツ松	一ツ松
一ツ柳	一ツ柳
一ツ森	一ツ森
一ツ橋	一ツ橋
一ツ氏	一ツ氏
一ツ渡	一ツ渡
一ツ田	一ツ田
一ツ町	一ツ町
一ツ矢	一ツ矢
一ツ石	一ツ石
一ツ谷	一ツ谷
一ノ世	一ノ世
一ノ井	一ノ井
一ノ倉	一ノ倉
一ノ勢	一ノ勢
一ノ原	一ノ原
一ノ口	一ノ口
一ノ名	一ノ名
一ノ坪	一ノ坪
一ノ子	一ノ子
一ノ字	一ノ字
一ノ宮	一ノ宮
一ノ尾	一ノ尾
一ノ山	一ノ山
一ノ川	一ノ川
一ノ戸	一ノ戸
一ノ木	一ノ木
一ノ木戸	一ノ木戸
一ノ本	一ノ本
一ノ枝	一ノ枝
一ノ橋	一ノ橋
一ノ沢	一ノ沢
一ノ清	一ノ清
一ノ渡	一ノ渡
一ノ澤	一ノ澤
一ノ瀬	一ノ瀬
一ノ田	一ノ田
一ノ矢	一ノ矢
一ノ穂	一ノ穂
一ノ谷	一ノ谷
一ノ間	一ノ間
一ノ関	一ノ関
一丁田	一丁田
一丁畑	一丁畑
一万田	一万田
一上	一上
一下	一下
一与	一与
一世	一世
一丸	一丸
一乃瀬	一乃瀬
一久	一久
一久保	一久保
一之上	一之上
一之宮	一之宮
一之木	一之木
一之森	一之森
一之沢	一之沢
一之澤	一之澤
一之瀬	一之瀬
一之谷	一之谷
一乗	一乗
一乘	一乘
一事	一事
一井	一井
一仏	一仏
一伊達	一伊達
一住連	一住連
一佛	一佛
一作	一作
一倉	一倉
一元	一元
一光	一光
一児島	一児島
一兜	一兜
一入	一入
一内	一内
一円	一円
一冨	一冨
一刀	一刀
一分片	一分片
一刈	一刈
一刎	一刎
一前	一前
一力	一力
一勢	一勢
一北	一北
一十林	一十林
一原	一原
一又	一又
一双	一双
一反田	一反田
一口	一口
一司	一司
一吉	一吉
一后	一后
一向	一向
一味	一味
一和	一和
一和多	一和多
一和田	一和田
一噌	一噌
一圓	一圓
一地	一地
一坂	一坂
一坊	一坊
一坊寺	一坊寺
一坪	一坪
一垣	一垣
一城	一城
一堂	一堂
一場	一場
一塚	一塚
一塲	一塲
一増	一増
一天満谷	一天満谷
一好	一好
一宅	一宅
一宇	一宇
一守	一守
一安	一安
一定	一定
一宝	一宝
一宮	一宮
一家	一家
一富	一富
一富士	一富士
一寳	一寳
一寶	一寶
一寸木	一寸木
一寺	一寺
一尺八寸	一尺八寸
一尾	一尾
一居	一居
一山	一山
一岐	一岐
一岡	一岡
一岩	一岩
一峯寺	一峯寺
一峰	一峰
一峰寺	一峰寺
一島	一島
一崎	一崎
一嶋	一嶋
一嶌	一嶌
一川	一川
一布	一布
一幡	一幡
一平	一平
一広	一広
一庵	一庵
一廣	一廣
一廼穂	一廼穂
一式	一式
一弛	一弛
一徳	一徳
一心	一心
一志	一志
一恩	一恩
一戸	一戸
一振	一振
一政	一政
一文字	一文字
一斗	一斗
一新	一新
一方井	一方井
一方隅	一方隅
一明	一明
一星	一星
一最	一最
一期	一期
一期崎	一期崎
一木	一木
一木戸	一木戸
一本	一本
一本島	一本島
一本嶋	一本嶋
一本木	一本木
一本杉	一本杉
一本松	一本松
一本柳	一本柳
一本槍	一本槍
一本鎗	一本鎗
一杉	一杉
一村	一村
一条	一条
一来	一来
一松	一松
一林	一林
一枚田	一枚田
一枝	一枝
一柳	一柳
一柿	一柿
一栄	一栄
一桐	一桐
一桝	一桝
一條	一條
一棟	一棟
一森	一森
一植庵	一植庵
一楽	一楽
一樂	一樂
一樋	一樋
一樹	一樹
一橋	一橋
一氏	一氏
一水	一水
一永	一永
一沢	一沢
一河	一河
一泉	一泉
一津屋	一津屋
一津田	一津田
一津矢	一津矢
一津谷	一津谷
一浦	一浦
一海	一海
一渡	一渡
一湊	一湊
一溝	一溝
一滴	一滴
一澤	一澤
一瀬	一瀬
一玖	一玖
一瓢	一瓢
一田	一田
一田山	一田山
一由	一由
一甲	一甲
一町	一町
一町田	一町田
一畝	一畝
一番ケ瀬	一番ケ瀬
一番合戦	一番合戦
一番屋	一番屋
一番星	一番星
一登	一登
一百野	一百野
一盃森	一盃森
一盛	一盛
一真	一真
一矢	一矢
一石	一石
一社	一社
一神	一神
一笠	一笠
一筆	一筆
一箭	一箭
一篠	一篠
一籏	一籏
一糸	一糸
一美	一美
一羽	一羽
一老	一老
一肩	一肩
一脇	一脇
一與	一與
一興	一興
一舎	一舎
一色	一色
一色田	一色田
一芝	一芝
一華	一華
一萬田	一萬田
一葉	一葉
一薮	一薮
一藁	一藁
一藤	一藤
一藤木	一藤木
一蝶	一蝶
一見	一見
一視	一視
一角	一角
一言	一言
一谷	一谷
一貫坂	一貫坂
一貫田	一貫田
一越	一越
一路	一路
一身	一身
一軸	一軸
一迫	一迫
一道	一道
一適	一適
一邨	一邨
一郎丸	一郎丸
一郡	一郡
一部	一部
一郷	一郷
一都	一都
一里塚	一里塚
一里山	一里山
一里越	一里越
一重	一重
一野	一野
一野坪	一野坪
一野本	一野本
一野瀬	一野瀬
一野谷	一野谷
一野辺	一野辺
一野邊	一野邊
一針	一針
一釣	一釣
一鉄	一鉄
一鍬田	一鍬田
一鏡	一鏡
一鐵	一鐵
一門	一門
一間	一間
一関	一関
一關	一關
一阪	一阪
一阿	一阿
一陣	一陣
一階	一階
一霍	一霍
一青	一青
一面	一面
一願	一願
一香	一香
一馬	一馬
一駒	一駒
一高	一高
一鬼	一鬼
一鷓	一鷓
一鷹	一鷹
七々原	七々原
七々木	七々木
七々瀬	七々瀬
七ケ所	七ケ所
七ツ役	七ツ役
七ツ村	七ツ村
七ツ河	七ツ河
七ツ田	七ツ田
七ツ町	七ツ町
七ツ矢	七ツ矢
七ツ谷	七ツ谷
七丈	七丈
七世	七世
七久保	七久保
七五三	七五三
七五三掛	七五三掛
七五三木	七五三木
七五三田	七五三田
七五三野	七五三野
七井	七井
七俵	七俵
七倉	七倉
七元	七元
七分	七分
七利	七利
七加家	七加家
七十刈	七十刈
七十苅	七十苅
七原	七原
七反田	七反田
七呂	七呂
七味	七味
七坂	七坂
七堂	七堂
七塚	七塚
七夕	七夕
七字	七字
七宝	七宝
七宮	七宮
七家	七家
七寳	七寳
七尾	七尾
七尾谷	七尾谷
七山	七山
七山谷	七山谷
七岡	七岡
七島	七島
七崎	七崎
七嵐	七嵐
七嶋	七嶋
七川	七川
七帖	七帖
七度	七度
七座	七座
七役	七役
七徳	七徳
七戸	七戸
七搦	七搦
七日市	七日市
七星	七星
七木田	七木田
七本	七本
七村	七村
七条	七条
七松	七松
七林	七林
七枝	七枝
七栗	七栗
七條	七條
七森	七森
七楽	七楽
七歩	七歩
七沢	七沢
七河	七河
七波	七波
七津角	七津角
七浦	七浦
七海	七海
七滝	七滝
七澤	七澤
七瀧	七瀧
七瀬	七瀬
七瀬川	七瀬川
七瀬谷	七瀬谷
七熊	七熊
七牟礼	七牟礼
七牟禮	七牟禮
七理	七理
七田	七田
七町	七町
七目木	七目木
七石	七石
七社	七社
七種	七種
七竹	七竹
七篠	七篠
七納	七納
七絛	七絛
七良川	七良川
七良浴	七良浴
七草	七草
七草木	七草木
七蔵司	七蔵司
七藏司	七藏司
七見	七見
七角	七角
七谷	七谷
七軒	七軒
七辺	七辺
七迫	七迫
七邊	七邊
七郎丸	七郎丸
七部	七部
七里	七里
七野	七野
七釜	七釜
七釜子	七釜子
七門	七門
七間	七間
七障子	七障子
七類	七類
七高	七高
七黒	七黒
万	万
万々	万々
